candidate,dataset,family,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,p95_ms,double_build_seconds,knowledge_bytes,agent_execution_seconds,native_trial_seconds
baseline,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,146.34051899997758,36.93171158400003,17785739,42.57476,88.641288
baseline,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.4994740000229285,36.694946424999955,4933955,37.75536,80.650859
baseline,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,120.85866199998918,18.28060401600004,32608496,23.867602,78.724289
baseline,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,621.7307189999701,26.264743548999945,158821350,48.037662,99.68604
baseline,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,63.724564999915856,64.88363875699997,23927107,67.806128,119.612163
baseline,architecture,classical,fusion,True,40,0.9257807641624444,0.9729166666666667,0.975,0.925,1491.1825780000072,194.323933862,172206005,408.230127,462.605967
baseline,enterprise,entity-graph,fusion,True,40,0.4673466879301481,0.5803571428571429,0.47333333333333333,0.5,91.82986500002244,77.69699468400006,13856388,90.051482,134.908439
baseline,architecture,ensemble,quality,True,40,0.8500964545549008,0.9520833333333334,0.8800000000000001,0.875,5763.663080000242,898.478668948,458363799,1360.594722,1405.535635
baseline,data-science,embeddings,hybrid,True,40,0.60043749109768,0.8895833333333334,0.5200297619047619,0.8,923.9514420000887,27.63432733000002,79076656,97.987178,147.568968
baseline,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,987.13745200007,402.82150052099996,266251750,606.323661,652.176633
baseline,enterprise,embeddings,hybrid,True,40,0.516406878690786,0.5991071428571428,0.541875,0.5,47.757154000009905,68.02320215500004,7169691,72.72923,118.692369
baseline,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.3221459999167564,5.404734524999867,25449713,7.021695,52.62194
baseline,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,4298.903180000252,217.89850106199992,318372177,728.9517,774.648586
baseline,astro,ensemble,quality,True,40,0.8262231573917006,0.8875,0.90625,0.725,5785.077953999917,264.7235901539998,145084331,593.772592,638.976947
baseline,architecture,embeddings,hybrid,True,40,0.7237714735653961,0.9208333333333334,0.7154464285714286,0.8,411.2021650003044,12.55463635299975,38303852,48.524625,92.606262
baseline,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,355.7609230001617,13.000703875,76846321,25.336482,72.049644
baseline,enterprise,classical,fusion,True,40,0.43423767296046306,0.4246031746031746,0.5625,0.325,44.548770999881526,63.44831900500003,8014930,69.665621,114.604793
baseline,data-science,adaptive,adaptive,True,40,0.9178174181007902,0.9916666666666666,0.9322916666666666,0.975,2932.4855769996248,256.1454048229998,266252926,376.814121,420.780527
baseline,astro,legacy,lexical,True,40,0.6051893734409577,0.7541666666666667,0.6446527777777777,0.575,2.6259219998792105,16.43315267099979,8773595,17.49597,61.699433
baseline,data-science,entity-graph,fusion,True,40,0.8579062471314278,0.975,0.86875,0.925,8414.527560999886,500.44431086500026,676957164,1769.809621,1814.677076
baseline,astro,embeddings,hybrid,True,40,0.7851983317054789,0.8583333333333334,0.8554166666666667,0.7,99.4060820003142,27.88638931899959,13011524,36.770726,81.228282
baseline,data-science,legacy,lexical,True,40,0.8321588233274824,0.95,0.8175000000000001,0.9,0.45914300017102505,8.80677661799973,52554726,11.333599,56.185037
baseline,astro,adaptive,adaptive,True,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,3213.629840000067,55.81956506999995,34362290,130.79941,173.558196
baseline,enterprise,graphify,search,True,40,0.13626228624863054,0.17371031746031745,0.20423611111111112,0.1,136.96363000008205,146.28162759099996,14940327,150.37589,190.954406
baseline,astro,entity-graph,fusion,True,40,0.6947023065501792,0.8229166666666666,0.7670833333333333,0.65,1306.5884229999938,96.13732884599995,114816438,277.933964,320.151138
baseline,enterprise,adaptive,adaptive,True,40,0.5033603261131847,0.5899801587301587,0.5747222222222221,0.475,1552.5814050006375,71.95074978000048,8016106,110.480975,155.047033
baseline,data-science,graphify,search,True,40,0.5440998456059355,0.5395833333333333,0.625,0.475,329.089040999861,37.81327656299982,74673183,53.411159,94.655805
baseline,astro,turso,lexical-sql,True,40,0.47813551023378115,0.6666666666666667,0.4916964285714286,0.475,142.15320899984363,21.191731253999933,32612315,25.566151,66.875858
baseline,enterprise,ensemble,quality,True,40,0.5534950398893288,0.5899801587301587,0.6035714285714285,0.475,1736.9530349997149,268.41955222900015,19997413,399.110179,442.073791
baseline,data-science,ensemble,quality,True,40,0.9278098590730673,0.9916666666666666,0.9410714285714287,0.975,11908.40524899977,1331.9044788830006,917220099,2349.188455,2395.204841
baseline,astro,classical,fusion,True,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,86.17675300047267,50.11306630600029,34361114,65.756999,107.043979
baseline,architecture,adaptive,adaptive,True,40,0.8560699230171966,0.9520833333333334,0.905,0.875,2008.027559999391,145.3557971350001,152558593,219.629255,263.205016
neural-record,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,145.62613599991892,38.569750693999595,17785739,44.176349,89.175947
neural-record,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.3166969997182605,39.066953216999536,4933955,40.036692,81.590546
neural-record,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,98.64107800058264,16.015116436000426,32608496,20.920558,65.047622
neural-record,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,497.95865600026445,20.630330609999874,158821350,38.097152,80.677328
neural-record,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,40.53986199960491,40.39364229600051,23927107,42.341892,84.88932
neural-record,architecture,classical,fusion,True,40,0.9257807641624444,0.9729166666666667,0.975,0.925,1034.7136170003068,147.59185595200051,172206005,300.781484,346.861618
neural-record,enterprise,entity-graph,fusion,True,40,0.4673466879301481,0.5803571428571429,0.47333333333333333,0.5,56.53337700005068,65.69782159500028,13856388,74.05011,118.233475
neural-record,architecture,ensemble,quality,True,40,0.8403672877146825,0.9520833333333334,0.8675,0.875,5578.468756999428,701.4965453640007,458364154,1153.156824,1198.105613
neural-record,data-science,embeddings,hybrid,True,40,0.8789004393851517,0.975,0.8834325396825398,0.95,1092.1958039998572,66.15165623200028,79076741,151.275185,196.970354
neural-record,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,961.7975019991718,265.13485679600035,266251750,441.705676,484.53542
neural-record,enterprise,embeddings,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,194.526097000562,81.85631683300016,9891587,102.062163,143.053142
neural-record,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.19520500063663349,5.115017979998811,25449713,6.576905,46.79803
neural-record,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,3051.837885999703,202.81157432200052,318372177,667.353324,709.425877
neural-record,astro,ensemble,quality,True,40,0.8245515371800917,0.8875,0.90625,0.725,4210.704014998555,287.7994335459989,145852635,573.601558,616.460797
neural-record,architecture,embeddings,hybrid,True,40,0.7708433851860573,0.9354166666666666,0.7881944444444444,0.8,597.3088339997048,29.78729756100074,38304143,94.076497,137.512328
