candidate,dataset,family,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,p95_ms,double_build_seconds,knowledge_bytes,agent_execution_seconds,native_trial_seconds,generation,profile,profile_qualified
g0-baseline,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,146.34051899997758,36.93171158400003,17785739,42.57476,88.641288,0,baseline,True
g0-baseline,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.4994740000229285,36.694946424999955,4933955,37.75536,80.650859,0,baseline,True
g0-baseline,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,120.85866199998918,18.28060401600004,32608496,23.867602,78.724289,0,baseline,True
g0-baseline,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,621.7307189999701,26.264743548999945,158821350,48.037662,99.68604,0,baseline,True
g0-baseline,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,63.724564999915856,64.88363875699997,23927107,67.806128,119.612163,0,baseline,True
g0-baseline,architecture,classical,fusion,True,40,0.9257807641624444,0.9729166666666667,0.975,0.925,1491.1825780000072,194.323933862,172206005,408.230127,462.605967,0,baseline,True
g0-baseline,enterprise,entity-graph,fusion,True,40,0.4673466879301481,0.5803571428571429,0.47333333333333333,0.5,91.82986500002244,77.69699468400006,13856388,90.051482,134.908439,0,baseline,True
g0-baseline,architecture,ensemble,quality,True,40,0.8500964545549008,0.9520833333333334,0.8800000000000001,0.875,5763.663080000242,898.478668948,458363799,1360.594722,1405.535635,0,baseline,True
g0-baseline,data-science,embeddings,hybrid,True,40,0.60043749109768,0.8895833333333334,0.5200297619047619,0.8,923.9514420000887,27.63432733000002,79076656,97.987178,147.568968,0,baseline,True
g0-baseline,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,987.13745200007,402.82150052099996,266251750,606.323661,652.176633,0,baseline,True
g0-baseline,enterprise,embeddings,hybrid,True,40,0.516406878690786,0.5991071428571428,0.541875,0.5,47.757154000009905,68.02320215500004,7169691,72.72923,118.692369,0,baseline,True
g0-baseline,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.3221459999167564,5.404734524999867,25449713,7.021695,52.62194,0,baseline,True
g0-baseline,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,4298.903180000252,217.89850106199992,318372177,728.9517,774.648586,0,baseline,True
g0-baseline,astro,ensemble,quality,True,40,0.8262231573917006,0.8875,0.90625,0.725,5785.077953999917,264.7235901539998,145084331,593.772592,638.976947,0,baseline,True
g0-baseline,architecture,embeddings,hybrid,True,40,0.7237714735653961,0.9208333333333334,0.7154464285714286,0.8,411.2021650003044,12.55463635299975,38303852,48.524625,92.606262,0,baseline,True
g0-baseline,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,355.7609230001617,13.000703875,76846321,25.336482,72.049644,0,baseline,True
g0-baseline,enterprise,classical,fusion,True,40,0.43423767296046306,0.4246031746031746,0.5625,0.325,44.548770999881526,63.44831900500003,8014930,69.665621,114.604793,0,baseline,True
g0-baseline,data-science,adaptive,adaptive,True,40,0.9178174181007902,0.9916666666666666,0.9322916666666666,0.975,2932.4855769996248,256.1454048229998,266252926,376.814121,420.780527,0,baseline,True
g0-baseline,astro,legacy,lexical,True,40,0.6051893734409577,0.7541666666666667,0.6446527777777777,0.575,2.6259219998792105,16.43315267099979,8773595,17.49597,61.699433,0,baseline,True
g0-baseline,data-science,entity-graph,fusion,True,40,0.8579062471314278,0.975,0.86875,0.925,8414.527560999886,500.44431086500026,676957164,1769.809621,1814.677076,0,baseline,True
g0-baseline,astro,embeddings,hybrid,True,40,0.7851983317054789,0.8583333333333334,0.8554166666666667,0.7,99.4060820003142,27.88638931899959,13011524,36.770726,81.228282,0,baseline,True
g0-baseline,data-science,legacy,lexical,True,40,0.8321588233274824,0.95,0.8175000000000001,0.9,0.45914300017102505,8.80677661799973,52554726,11.333599,56.185037,0,baseline,True
g0-baseline,astro,adaptive,adaptive,True,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,3213.629840000067,55.81956506999995,34362290,130.79941,173.558196,0,baseline,True
g0-baseline,enterprise,graphify,search,True,40,0.13626228624863054,0.17371031746031745,0.20423611111111112,0.1,136.96363000008205,146.28162759099996,14940327,150.37589,190.954406,0,baseline,True
g0-baseline,astro,entity-graph,fusion,True,40,0.6947023065501792,0.8229166666666666,0.7670833333333333,0.65,1306.5884229999938,96.13732884599995,114816438,277.933964,320.151138,0,baseline,True
g0-baseline,enterprise,adaptive,adaptive,True,40,0.5033603261131847,0.5899801587301587,0.5747222222222221,0.475,1552.5814050006375,71.95074978000048,8016106,110.480975,155.047033,0,baseline,True
g0-baseline,data-science,graphify,search,True,40,0.5440998456059355,0.5395833333333333,0.625,0.475,329.089040999861,37.81327656299982,74673183,53.411159,94.655805,0,baseline,True
g0-baseline,astro,turso,lexical-sql,True,40,0.47813551023378115,0.6666666666666667,0.4916964285714286,0.475,142.15320899984363,21.191731253999933,32612315,25.566151,66.875858,0,baseline,True
g0-baseline,enterprise,ensemble,quality,True,40,0.5534950398893288,0.5899801587301587,0.6035714285714285,0.475,1736.9530349997149,268.41955222900015,19997413,399.110179,442.073791,0,baseline,True
g0-baseline,data-science,ensemble,quality,True,40,0.9278098590730673,0.9916666666666666,0.9410714285714287,0.975,11908.40524899977,1331.9044788830006,917220099,2349.188455,2395.204841,0,baseline,True
g0-baseline,astro,classical,fusion,True,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,86.17675300047267,50.11306630600029,34361114,65.756999,107.043979,0,baseline,True
g0-baseline,architecture,adaptive,adaptive,True,40,0.8560699230171966,0.9520833333333334,0.905,0.875,2008.027559999391,145.3557971350001,152558593,219.629255,263.205016,0,baseline,True
g0-neural-record,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,145.62613599991892,38.569750693999595,17785739,44.176349,89.175947,0,neural-record,True
g0-neural-record,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.3166969997182605,39.066953216999536,4933955,40.036692,81.590546,0,neural-record,True
g0-neural-record,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,98.64107800058264,16.015116436000426,32608496,20.920558,65.047622,0,neural-record,True
g0-neural-record,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,497.95865600026445,20.630330609999874,158821350,38.097152,80.677328,0,neural-record,True
g0-neural-record,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,40.53986199960491,40.39364229600051,23927107,42.341892,84.88932,0,neural-record,True
g0-neural-record,architecture,classical,fusion,True,40,0.9257807641624444,0.9729166666666667,0.975,0.925,1034.7136170003068,147.59185595200051,172206005,300.781484,346.861618,0,neural-record,True
g0-neural-record,enterprise,entity-graph,fusion,True,40,0.4673466879301481,0.5803571428571429,0.47333333333333333,0.5,56.53337700005068,65.69782159500028,13856388,74.05011,118.233475,0,neural-record,True
g0-neural-record,architecture,ensemble,quality,True,40,0.8403672877146825,0.9520833333333334,0.8675,0.875,5578.468756999428,701.4965453640007,458364154,1153.156824,1198.105613,0,neural-record,True
g0-neural-record,data-science,embeddings,hybrid,True,40,0.8789004393851517,0.975,0.8834325396825398,0.95,1092.1958039998572,66.15165623200028,79076741,151.275185,196.970354,0,neural-record,True
g0-neural-record,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,961.7975019991718,265.13485679600035,266251750,441.705676,484.53542,0,neural-record,True
g0-neural-record,enterprise,embeddings,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,194.526097000562,81.85631683300016,9891587,102.062163,143.053142,0,neural-record,True
g0-neural-record,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.19520500063663349,5.115017979998811,25449713,6.576905,46.79803,0,neural-record,True
g0-neural-record,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,3051.837885999703,202.81157432200052,318372177,667.353324,709.425877,0,neural-record,True
g0-neural-record,astro,ensemble,quality,True,40,0.8245515371800917,0.8875,0.90625,0.725,4210.704014998555,287.7994335459989,145852635,573.601558,616.460797,0,neural-record,True
g0-neural-record,architecture,embeddings,hybrid,True,40,0.7708433851860573,0.9354166666666666,0.7881944444444444,0.8,597.3088339997048,29.78729756100074,38304143,94.076497,137.512328,0,neural-record,True
g0-neural-record,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,348.734229000911,11.328811225999743,76846321,23.563372,69.215913,0,neural-record,True
g0-neural-record,enterprise,classical,fusion,True,40,0.43423767296046306,0.4246031746031746,0.5625,0.325,45.92294900066918,62.88683089400001,8014930,69.126053,109.519272,0,neural-record,True
g0-neural-record,data-science,adaptive,adaptive,True,40,0.9178174181007902,0.9916666666666666,0.9322916666666666,0.975,2649.521856999854,245.0034423140005,266252926,354.776776,396.83109,0,neural-record,True
g0-neural-record,astro,legacy,lexical,True,40,0.6051893734409577,0.7541666666666667,0.6446527777777777,0.575,2.8277689998503774,16.836051185000542,8773595,17.848694,60.429166,0,neural-record,True
g0-neural-record,data-science,entity-graph,fusion,True,40,0.8579062471314278,0.975,0.86875,0.925,7766.539889998967,468.61629949300004,676957164,1616.711362,1658.993658,0,neural-record,True
g0-neural-record,astro,embeddings,hybrid,True,40,0.7434446547499104,0.9104166666666667,0.73625,0.75,244.33678799869085,64.38287009399937,13779764,88.872618,131.252057,0,neural-record,True
g0-neural-record,data-science,legacy,lexical,True,40,0.8321588233274824,0.95,0.8175000000000001,0.9,0.4325049994804431,8.14746323700092,52554726,10.429049,52.307882,0,neural-record,True
g0-neural-record,astro,adaptive,adaptive,True,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,2741.0243679987616,49.15527302299961,34362290,114.748397,156.918027,0,neural-record,True
g0-neural-record,enterprise,graphify,search,True,40,0.13626228624863054,0.17371031746031745,0.20423611111111112,0.1,138.01140200121154,140.9089142999983,14940327,145.009592,185.092089,0,neural-record,True
g0-neural-record,astro,entity-graph,fusion,True,40,0.6947023065501792,0.8229166666666666,0.7670833333333333,0.65,1199.3760260011186,90.96866306099946,114816438,256.509871,296.875719,0,neural-record,True
g0-neural-record,enterprise,adaptive,adaptive,True,40,0.5033603261131847,0.5899801587301587,0.5747222222222221,0.475,1427.7581709993683,65.08101885399992,8016106,100.650627,142.428414,0,neural-record,True
g0-neural-record,data-science,graphify,search,True,40,0.5440998456059355,0.5395833333333333,0.625,0.475,328.7414139995235,37.90763480900023,74673183,53.436763,96.02925,0,neural-record,True
g0-neural-record,astro,turso,lexical-sql,True,40,0.47813551023378115,0.6666666666666667,0.4916964285714286,0.475,144.79608200053917,20.41794824000135,32612315,24.694919,66.285635,0,neural-record,True
g0-neural-record,enterprise,ensemble,quality,True,40,0.5560667237718679,0.5899801587301587,0.6035714285714285,0.475,1784.6971420003683,310.59910039399983,22719373,432.224838,474.748661,0,neural-record,True
g0-neural-record,data-science,ensemble,quality,True,40,0.9286505509911679,0.9916666666666666,0.9410714285714287,0.975,13592.505638000148,1399.0124789630008,917220248,2336.752438,2380.114805,0,neural-record,True
g0-neural-record,astro,classical,fusion,True,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,89.67047199985245,51.38789665200056,34361114,66.877784,137.202836,0,neural-record,True
g0-neural-record,architecture,adaptive,adaptive,True,40,0.8560699230171966,0.9520833333333334,0.905,0.875,2094.722988000285,151.28346645199963,152558593,234.814592,292.541889,0,neural-record,True
g0-quarter-expansion,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,151.1958049995883,39.17230209399895,17785739,45.396834,90.950982,0,quarter-expansion,True
g0-quarter-expansion,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,4.708880000180216,39.67527189900102,4933955,40.652368,83.168189,0,quarter-expansion,True
g0-quarter-expansion,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,102.75205799916876,16.838379577000524,32608496,21.95726,69.339697,0,quarter-expansion,True
g0-quarter-expansion,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,484.3577989995538,24.310606205001022,158821350,42.435938,87.503053,0,quarter-expansion,True
g0-quarter-expansion,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,40.653572001247085,41.1415590609995,23927107,43.100855,87.766668,0,quarter-expansion,True
g0-quarter-expansion,architecture,classical,fusion,True,40,0.9172305397819717,0.9729166666666667,0.95,0.925,959.8505680005474,151.6092392390001,172206008,305.084792,350.536636,0,quarter-expansion,True
g0-quarter-expansion,enterprise,entity-graph,fusion,True,40,0.4673466879301481,0.5803571428571429,0.47333333333333333,0.5,80.93073099917092,68.07395143599933,13856388,77.751643,125.071529,0,quarter-expansion,True
g0-quarter-expansion,architecture,ensemble,quality,True,40,0.8495246082105335,0.9520833333333334,0.8794047619047619,0.875,11204.952886999308,693.5590608040002,458363805,1153.730821,1197.095929,0,quarter-expansion,True
g0-quarter-expansion,data-science,embeddings,hybrid,True,40,0.60043749109768,0.8895833333333334,0.5200297619047619,0.8,1167.3525999995036,27.02303389699955,79076656,103.443664,149.260485,0,quarter-expansion,True
g0-quarter-expansion,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,974.4878609999432,288.62784847700095,266251753,467.001476,511.448744,0,quarter-expansion,True
g0-quarter-expansion,enterprise,embeddings,hybrid,True,40,0.516406878690786,0.5991071428571428,0.541875,0.5,47.6462079986959,68.20171618299901,7169691,72.902178,123.418083,0,quarter-expansion,True
g0-quarter-expansion,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.19102800069958903,5.263087252998957,25449713,6.763346,48.277843,0,quarter-expansion,True
g0-quarter-expansion,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,5589.319685999726,224.78283313199972,318372177,743.022761,791.584006,0,quarter-expansion,True
g0-quarter-expansion,astro,ensemble,quality,True,40,0.8128033717563061,0.8875,0.8875,0.725,5624.865982999836,282.9135784730006,145084337,633.517006,681.355673,0,quarter-expansion,True
g0-quarter-expansion,architecture,embeddings,hybrid,True,40,0.7237714735653961,0.9208333333333334,0.7154464285714286,0.8,685.2128750015254,18.22700621199874,38303852,65.306053,118.070884,0,quarter-expansion,True
g0-quarter-expansion,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,416.32649900020624,14.985673510998822,76846321,28.268632,74.25603,0,quarter-expansion,True
g0-quarter-expansion,enterprise,classical,fusion,True,40,0.4434644291211766,0.4246031746031746,0.575,0.325,41.794447999564,61.25194185500004,8014933,67.223556,110.903527,0,quarter-expansion,True
g0-quarter-expansion,data-science,adaptive,adaptive,True,40,0.9141270327970533,0.9833333333333334,0.9322916666666666,0.95,6150.569452998752,297.389852065,266252929,431.726759,475.160202,0,quarter-expansion,True
g0-quarter-expansion,astro,legacy,lexical,True,40,0.6051893734409577,0.7541666666666667,0.6446527777777777,0.575,2.760975999990478,21.406003740001324,8773595,22.581746,68.931843,0,quarter-expansion,True
g0-quarter-expansion,data-science,entity-graph,fusion,True,40,0.8579062471314278,0.975,0.86875,0.925,7060.490713000036,557.877441339002,676957164,1680.274486,1739.569999,0,quarter-expansion,True
g0-quarter-expansion,astro,embeddings,hybrid,True,40,0.7851983317054789,0.8583333333333334,0.8554166666666667,0.7,109.10674899787409,27.279641163000633,13011524,36.468598,83.869396,0,quarter-expansion,True
g0-quarter-expansion,data-science,legacy,lexical,True,40,0.8321588233274824,0.95,0.8175000000000001,0.9,0.3726959985215217,10.703111701001035,52554726,13.084074,67.742179,0,quarter-expansion,True
g0-quarter-expansion,astro,adaptive,adaptive,True,40,0.8326584600131275,0.8875,0.9208333333333334,0.725,2647.6770769986615,51.033690647000185,34362293,116.833461,162.686085,0,quarter-expansion,True
g0-quarter-expansion,enterprise,graphify,search,True,40,0.13626228624863054,0.17371031746031745,0.20423611111111112,0.1,142.96992500021588,160.85445223600254,14940327,165.361669,210.333819,0,quarter-expansion,True
g0-quarter-expansion,astro,entity-graph,fusion,True,40,0.6947023065501792,0.8229166666666666,0.7670833333333333,0.65,1171.0862170002656,97.16377033499884,114816438,264.49291,308.034115,0,quarter-expansion,True
g0-quarter-expansion,enterprise,adaptive,adaptive,True,40,0.5056922738907149,0.5649801587301587,0.585515873015873,0.45,1328.0168710007274,61.25402910400226,8016109,94.77108,135.273107,0,quarter-expansion,True
g0-quarter-expansion,data-science,graphify,search,True,40,0.5440998456059355,0.5395833333333333,0.625,0.475,365.32005799745093,38.6237323259993,74673183,54.473163,96.998985,0,quarter-expansion,True
g0-quarter-expansion,astro,turso,lexical-sql,True,40,0.47813551023378115,0.6666666666666667,0.4916964285714286,0.475,142.8513139981078,20.391970025000774,32612315,24.709958,69.511326,0,quarter-expansion,True
g0-quarter-expansion,enterprise,ensemble,quality,True,40,0.5401874564475949,0.5649801587301587,0.5944444444444444,0.45,1490.6879859991022,262.7751403880029,19997419,372.248254,419.908748,0,quarter-expansion,True
g0-quarter-expansion,data-science,ensemble,quality,True,40,0.9242781847515715,0.9833333333333334,0.9410714285714287,0.95,10205.019279001135,1433.304368115998,917220105,2265.22868,2307.549893,0,quarter-expansion,True
